"wage","exper","school","rural","year","age","hours","trad","min","con","bus","fin","boom_twn"
20.1694502925143,1,14,0,2018,21,2388.8,0,0,0,1,0,1
18.3840816837942,3,14,0,2020,23,2429,0,0,0,1,0,1
25.0476212111036,4,14,0,2021,24,2432,0,0,0,1,0,1
14.4673839894769,6,14,0,2023,26,2417.6,0,0,0,1,0,1
17.0368179493944,7,14,0,2024,27,2437.1,0,0,0,1,0,1
16.2227864013853,8,14,0,2025,28,2384,0,0,0,1,0,1
21.2803216749718,4,13,0,2018,23,2360.6,1,0,0,0,0,0
9.47996525017734,5,13,0,2019,24,2408.6,1,0,0,0,0,0
17.3526272545354,6,13,0,2020,25,2367.5,1,0,0,0,0,0
9.10434342182131,7,13,0,2021,26,2260,1,0,0,0,0,0
8.61341535036035,8,13,0,2022,27,2360.9,1,0,0,0,0,0
9.38185750421615,9,13,0,2023,28,2084,0,0,1,0,0,0
15.3757528288805,10,13,0,2024,29,2400.35,0,0,1,0,0,0
21.9992017065174,11,13,0,2025,30,2396,0,0,1,0,0,0
10.0183212551925,4,12,0,2018,22,2252,1,0,0,0,0,0
15.1641976541245,5,12,0,2019,23,2036,1,0,0,0,0,0
18.8553429037325,7,12,0,2021,25,2394,1,0,0,0,0,0
21.7464160246579,8,12,0,2022,26,2282,1,0,0,0,0,0
27.2573599927251,9,12,0,2023,27,2260,1,0,0,0,0,0
21.8412133142325,10,12,0,2024,28,2260,1,0,0,0,0,0
30.8760650207941,11,12,0,2025,29,2260,1,0,0,0,0,0
12.3531602263968,6,12,0,2022,24,1840,0,0,0,1,0,1
20.7531745896129,9,12,0,2025,27,2417,0,0,1,0,0,1
22.5115398832933,9,12,0,2022,27,2070,1,0,0,0,0,1
19.7624760265402,10,12,0,2023,28,1452,0,0,0,1,0,1
13.3674040261309,11,12,0,2024,29,2000,0,0,0,0,1,1
28.8183558215909,12,12,0,2025,30,2000,0,0,0,0,1,1
13.8181915882003,2,10,0,2018,18,945,1,0,0,0,0,0
20.2852199716308,3,10,0,2019,19,1416,1,0,0,0,0,0
12.1898860138998,4,10,0,2020,20,1314,1,0,0,0,0,0
19.2718143111007,5,10,0,2021,21,2426.6,1,0,0,0,0,0
10.4603681328575,7,10,0,2023,23,2584.85,1,0,0,0,0,0
9.48285826829834,8,10,0,2024,24,2640.65,0,0,0,0,1,0
22.2710953496437,9,10,0,2025,25,2523.2,0,0,0,1,0,0
13.7238628330225,2,13,0,2018,21,2455.25,1,0,0,0,0,0
24.5110236836712,3,13,0,2019,22,2398.25,1,0,0,0,0,0
17.4517531626718,4,13,0,2020,23,2310,1,0,0,0,0,0
23.0778254446308,5,13,0,2021,24,2260,1,0,0,0,0,0
20.6989963078749,6,13,0,2022,25,2170,1,0,0,0,0,0
19.9260898807327,7,13,0,2023,26,2260,1,0,0,0,0,0
9.604986609657,8,13,0,2024,27,2429.15,1,0,0,0,0,0
19.4512609091203,9,13,0,2025,28,2415.05,1,0,0,0,0,0
15.5931960385894,2,12,0,2018,20,1796,0,0,0,1,0,1
8.38354502291651,3,12,0,2019,21,2247,0,0,0,1,0,1
